station,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI
"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",2026-04-21 17:00:00,-1.0364528768516503,-0.1304728440244092,-0.23959672655860262,-0.22664551226873497,-0.21702466003451443,-0.3054353660745466,-0.29215989972594775,92.0
"32Bungalows, Bhilai - CECB",2026-04-21 17:00:00,-0.8673488617534871,-0.40772763757627867,-0.4993083749005523,-0.6114084901008177,-1.3651423792707893,-1.0479198000762504,0.02762880339460658,35.0
"AIIMS, Raipur - CECB",2026-04-21 17:00:00,0.1472752288354918,-0.40772763757627867,0.3317688997936867,-0.8422662768000673,-0.8817243922239367,-1.023968689302002,-1.1715788333074721,59.0
"Adarsh Nagar, Jaipur - RSPCB",2026-04-21 17:00:00,-0.698244846655324,0.7012915366311993,0.3837112294620766,-0.8935680071776783,-0.13645499552670565,1.0597779480576186,0.5872590338555767,118.0
"Airport Area, Indore - IMC",2026-04-21 17:00:00,0.9927953043263076,-0.1304728440244092,-1.1226163309212316,-0.8935680071776783,-0.7407274793352714,0.24544018173316925,-0.611948602846502,84.0
"Alipur, Delhi - DPCC",2026-04-21 17:00:00,-0.07819679129539242,1.8103107108386771,0.7992498668091961,-0.4575032989679846,1.9583562816763223,1.03582683728337,0.18752315495488373,200.0
"Ambazari, Nagpur - MPCB",2026-04-21 17:00:00,-1.0928208818843714,0.1467819495274603,-0.6031930342373322,0.5172295782066249,-0.4587336535579407,-0.11382647988055844,-0.21221272394580915,80.0
"Ambedkar Nagar, Nellore - APPCB ",2026-04-21 17:00:00,0.372747248966376,-0.1304728440244092,-0.18765439689021268,-0.5344558945344011,-1.324857547016885,-0.8802620246565108,-0.5320014270663634,38.0
"Amity University, Panchgaon - IITM",2026-04-21 17:00:00,-0.41640482149171876,-0.6849824311281482,-1.0706740012528415,0.6198330389618469,0.2663933270123382,1.2992890558001038,0.6672062096357152,128.0
"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-04-21 17:00:00,-0.5291408315571609,-0.9622372246800176,-0.9148470122476718,-0.8166154116112617,-1.3449999631438372,-1.3832353509157296,-0.8517901301869177,36.0
"Anand Vihar, Delhi - DPCC",2026-04-21 17:00:00,0.4854832590318181,2.0875655043905468,3.3444240205603033,-1.1757275242545389,3.086331584785645,1.7783112712850742,0.42736468229529945,256.0
"Anand Vihar, Hapur - UPPCB",2026-04-21 17:00:00,-0.07819679129539242,1.8103107108386771,1.838096460176995,-0.277947242646346,2.7036256783735535,1.2274357234773583,3.4653573619405655,237.0
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",2026-04-21 17:00:00,-0.19093280136083451,-1.2394920182318871,-0.3954237155637724,-0.22664551226873497,-0.15659741165365784,0.31729351405591477,0.18752315495488373,95.0
"Ardhali Bazar, Varanasi - UPPCB",2026-04-21 17:00:00,-0.8673488617534871,-0.1304728440244092,0.7473075371408061,-0.7653136812336507,0.08511158186976846,0.24544018173316925,-0.4520542512862249,107.0
"Arumbakkam, Chennai - TNPCB",2026-04-21 17:00:00,-0.19093280136083451,-0.9622372246800176,-0.759020023242502,-0.22664551226873497,-0.6601578148274626,-1.311382018592984,-1.1715788333074721,70.0
"Arya Nagar, Bahadurgarh - HSPCB",2026-04-21 17:00:00,0.8800592942608655,2.0875655043905468,-0.7070776935741121,-0.7140119508560396,0.5282447366627167,2.281284597544293,-0.8517901301869177,169.0
"Asansol Court Area, Asansol - WBPCB",2026-04-21 17:00:00,0.20364323386821284,0.1467819495274603,0.5395382184672464,0.2094191959409587,-0.21702466003451443,0.8921201726378791,-0.13226554816567057,111.0
"Ashok Nagar, Udaipur - RSPCB",2026-04-21 17:00:00,-0.5855088365898818,1.2558011237349382,1.5783848118350452,0.08116486999693116,0.04482674961586407,0.5328535110241515,-0.7718429544067792,105.0
"Ashok Vihar, Delhi - DPCC",2026-04-21 17:00:00,0.7109552791627023,0.42403674307932976,1.1628461744879257,0.23507006112976422,1.7367897042798481,1.1316312803803643,0.8271005611959923,189.0
"Ashta Vinayak Nagar, Hingoli - MPCB",2026-04-21 17:00:00,-0.9800848718189292,-0.9622372246800176,-0.759020023242502,3.364475614164036,-1.4658544599055503,-1.21557757549599,-1.0916316575273335,231.0
"Aya Nagar, Delhi - IMD",2026-04-21 17:00:00,0.2600112389009339,-0.1304728440244092,0.9550768558143659,0.5428804433954304,1.1123748043443302,0.24544018173316925,-0.29215989972594775,158.0
"B R Ambedkar University, Lucknow - UPPCB",2026-04-21 17:00:00,-0.19093280136083451,-0.40772763757627867,-0.759020023242502,0.7224364997170689,0.9915203075826171,0.2693912925074178,0.3474175065151609,152.0
"BTM Layout, Bengaluru - CPCB",2026-04-21 17:00:00,0.9364272992935866,-0.1304728440244092,0.020114921783347058,-0.7396628160448452,-0.2573094922884188,-0.8323598031080138,0.02762880339460658,90.0
"BWSSB Kadabesanahalli, Bengaluru - CPCB",2026-04-21 17:00:00,0.372747248966376,-1.2394920182318871,-0.3954237155637724,-0.43185243377917903,-1.1838606341282196,-1.2395286862702386,-0.9317373059670563,44.0
"Ballygunge, Kolkata - WBPCB",2026-04-21 17:00:00,-0.641876841622603,0.1467819495274603,-0.4993083749005523,-0.6114084901008177,-1.0630061373665065,-0.7605064707852683,0.2674703307350223,50.0
"Bamboliya, Baran - RSPCB",2026-04-21 17:00:00,-0.641876841622603,-0.6849824311281482,0.3837112294620766,1.1071994775491516,0.40739023990100354,0.7244623972181395,0.10757597917474515,123.0
"Bandhavgar Colony, Satna - Birla Cement",2026-04-21 17:00:00,-0.5855088365898818,-0.1304728440244092,-0.759020023242502,-0.22664551226873497,-0.6601578148274626,-0.5688975845912801,0.507311858075438,70.0
"Bandra Kurla Complex, Mumbai - IITM",2026-04-21 17:00:00,1.0491633093590287,3.7510942657017634,0.48759588879885646,-0.8422662768000673,0.5483871527896689,0.2693912925074178,-1.2515260090876106,130.0
"Bandra Kurla Complex, Mumbai - MPCB",2026-04-21 17:00:00,-1.2055568919498134,-0.40772763757627867,-0.29153905622699255,0.004212274430514627,-0.277451908415371,0.053831295539181145,-1.0916316575273335,89.0
"Bapuji Nagar, Bengaluru - KSPCB",2026-04-21 17:00:00,-0.36003681645899765,-0.6849824311281482,0.072057251451737,0.6454839041506524,-0.13645499552670565,-0.7605064707852683,0.507311858075438,96.0
"Bapunagar, Vadodara - Nexteng Enviro",2026-04-21 17:00:00,2.7965714653733813,-0.6849824311281482,-0.5512507045689422,-1.1757275242545389,0.3872478237740513,1.2274357234773583,-0.8517901301869177,125.0
"Bardowali, Agartala - Tripura SPCB",2026-04-21 17:00:00,-0.8673488617534871,-0.40772763757627867,-0.4473660452321624,-1.0474731983105112,-0.35802157292317977,-0.233582033751801,-1.0916316575273335,85.0
"Barsua Iron Ore Mines, Tensa - OSPCB",2026-04-21 17:00:00,0.6545872741299813,-0.1304728440244092,-0.23959672655860262,0.5685313085842358,-0.21702466003451443,-0.6647020276882742,-0.29215989972594775,92.0
